title,original_title,year,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote
IRIS: A Space Opera by Justice,IRIS: A Space Opera by Justice,2019,Music,63,France,English,André Chemetoff,,Because,,"A 60 minute film of Justice's 2017-2018 live show, recorded in an empty and invisible space without an audience, focusing exclusively on the impressive production and music. The show has ...",8
The Protector,The Protector,2019,"Comedy, Romance",126,"USA, UK",English,Tosca Musk,"Joany Kane, Joany Kane",Passionflix,"Emma Rigby, Rachel Allinson, David Bamber, David Bamber, Louise Bangay, Iris Bjork, Jasmine Blackborow, Lee Byford, Molly Carter, Rosie Cooper, Sara Escriva, Jacey Ethalion, Belle Mary Hithersay, Daniella Isaacs, Diarmaid Murtagh","Based on the novel by best selling author, Jodi Ellen Malpas.",5.5
Staged Killer,Staged Killer,2019,Thriller,88,USA,English,Christopher Ray,"Lindsay Hartley, Jason-Shane Scott",Rented Mule Films,"Chrishell Stause, Nicole Bilderback, Jason Dolley, Darrin Dewitt Henson, Naaji Kenn, Charlie O'Connell, Chasty Ballesteros, Peter Johnson, Daniel Greer, Kathryn Schneider, Lyman Chen, Anna Sophia Berglund, Josh Nuncio, Frank Rossi, Elizabeth Williams","When a former co-host, Jake Everett, works his way back into the professional life of popular TV morning show host Naomi Spencer, the show's success skyrockets, but Naomi's personal life begins to fall apart.",3.4
Once Upon a Time in Deadwood,Once Upon a Time in Deadwood,2019,Western,85,USA,English,Rene Perez,"Rene Perez, Jeff Miller",Millman Productions,"Robert Bronzi, Michael Paré, Karin Brauns, Lauren Compton, J.D. Angstadt, Woody Clendenen, Justin Hawkins, John Hutchins, Tony Jackson, Ronnie D. Lee, Verónica López, Chris Matteis, George j. Merino, Jeff Miller, Carlos Ortega","A notorious gunslinger is slipped a slow-acting poison by an heiress and told he has three days to track down and rescue her sister, who has been kidnapped by a gang of hoodlums and holds the antidote.",2.8
Scare Attraction,Scare Attraction,2019,Horror,72,UK,English,Steven M. Smith,"Steven M. Smith, Christopher Jolley",Greenway Entertainment,"Tony Fadil, Sonera Angel, Primrose Bigwood, Elliot Cable, Jon-Paul Gates, Earl Ling, Kit Pascoe, Rad Brown, Willie Coppen, Jimmy 'The Bee' Bennett, Can Somer, Anastasia Cane, Gaz de Vere, Bayley Drew, Paul Durso",Reality TV stars attend a Halloween Scare Attraction. Suddenly the escape room turns deadly as gas leaks in leaving them unconscious. A voice tells them they must tell a truth or die. Who will survive the real scare attraction?,4
Un cavaliere per Natale,The Knight Before Christmas,2019,"Adventure, Comedy, Drama",92,USA,English,Monika Mitchell,Cara J. Russell,Motion Picture Corporation of America (MPCA),"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Ella Kenion, Harry Jarvis, Isabelle Franca, Jean-Michel Le Gal, Scott Ryan Yamamura, Arnold Pinnock, Shazdeh Kapadia, Evan O'Donnell, Simon Webster, Jesse Gervasi, Mimi Gianopulos, Jayne Eastwood",A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,5.5
Flat Earth: To the Edge and Back,Flat Earth: To the Edge and Back,2019,Comedy,50,USA,English,Logan Paul,Logan Paul,,"Bubba Ali, Casey Boonstra, Casey Costelloe, Kong Da Savage, Evan Eckenrode, Mike Majlak, Logan Paul, Dani Strobel",Logan goes around North America to discover and learn about the flat earth community and he decides whether he believes in it too,3.5
Blood on Her Name,Blood on Her Name,2019,"Crime, Drama, Thriller",85,USA,English,Matthew Pope,"Don M. Thompson, Matthew Pope",Rising Creek,"Bethany Anne Lind, Will Patton, Elisabeth Röhm, Jared Ivers, Jimmy Gonzales, Jack Andrews, Chandler Head, Tony Vaughn, Joshua Mikel, Bryant Carroll, Eric Mendenhall, Rick Perez, Mimi Fletcher, Charles Lawlor, Tim Hughes",A woman's panicked decision to cover up an accidental killing spins out of control when her conscience demands she return the dead man's body to his family.,5.5
The Exigency,The Exigency,2019,Sci-Fi,112,USA,English,Cody Vibbart,Cody Vibbart,Cuz Productions,"Tom Haney, Alexis Danner, Warren Halderman, Kayla Vibbart, Dillon Vibbart, H. Keith Todd, Matthew Kendrick, Alix Spurlock, Joel Danner, Joshua Guthrie, Lucas Danner, Si Hawk, Andrew Racho, Andrew Susay, Cody Vibbart","With a clueless King and failing military, the planet of Gallesha is on the brink of domination by a tyrant, Diederick, of the planet Anumbis. Gallesha's last hope for survival is to retrieve their retired legendary war hero.",6.5
"Natale, folle Natale",Holiday Rush,2019,"Comedy, Drama, Family",92,USA,English,Leslie Small,"Sean Dwyer, Greg Cope White",Poke Prod,"Romany Malco, Sonequa Martin-Green, Darlene Love, Amarr M. Wooten, Deysha Nelson, Andrea-Marie Alphonse, Selena-Marie Alphonse, Deon Cole, Tamala Jones, Alysia Livingston, La La Anthony, Malika Samuel, Roscoe Orman, Stormi Maya, Jimmy Palumbo","After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.",4.8
Dybbuk Box: The Story of Chris Chambers,Dybbuk Box: The Story of Chris Chambers,2019,Horror,60,USA,English,Joseph Mazzaferro,Joseph Mazzaferro,Mazz Appeal Films,"Joseph Mazzaferro, Sarah Bently",The encounters recorded by Chris Chambers have been studied by industry professionals and proven to be accurate recorded paranormal accounts. Currently documented as one of the most supernatural recorded events to date.,5.5
Always a Bridesmaid,Always a Bridesmaid,2019,"Comedy, Romance",97,USA,English,Trey Haley,Yvette Nicole Brown,AAB Film,"Javicia Leslie, Jordan Calloway, Yvette Nicole Brown, Michelle Mitchenor, Jasmin Brown, Amber Chardae Robinson, Tosin Morohunfola, Marcel Spears, Richard Lawson, Bernard David Jones, Telma Hopkins, James Bland, Affion Crockett, Joy Brunson, Meagan Tandy","Corina is stuck being everyone's bridesmaid. Deciding to no longer be a lady-in-waiting, she bravely re-enters the dating scene. Time will only tell if Corina will Always Be A Bridesmaid or if the love of her life is around the corner.",5.6
2177: The San Francisco Love Hacker Crimes,2177: The San Francisco Love Hacker Crimes,2019,Sci-Fi,98,USA,English,Jose Figueroa,Jose Figueroa,La Boca Productions LLC,"Sean Patrick Flanery, Dominique Swain, Miracle Laurie, Shane Coffey, K.T. Tatara, Black Thomas, Michael Rose, Kelvin Han Yee, Maria Olsen, Benton Jennings, Bil Dwyer, Barbi Okeefe, Irene Roseen, Louisa Abernathy, Ezra Buzzington",Mysterious stranger helped save the day when proper data was obtained no one was harmed,1.5
42nd Street: The Musical,42nd Street: The Musical,2019,Musical,155,UK,English,"Mark Bramble, Ross MacGibbon",Mark Bramble,Julian Marsh Pictures,"Bonnie Langford, Tom Lister, Clare Halse, Philip Bertioli, Jasna Ivir, Christopher Howell, Matthew Goodgame, Graeme Henderson, Bruce Montague, Mark McKerracher, Emma Caffrey, Ella Martine, Clare Rickard, Sara Bispham, Paul Knight","Peggy Sawyer, a talented young performer with stars in her eyes gets her big break on Broadway.",8
Chasing Molly,Chasing Molly,2019,"Comedy, Crime",80,USA,English,Josh Sutherland,"Shelley Pack, Shelley Pack",Mountain Light Entertainment,"Kurt Angle, Shelley Pack, Jim Cashman, Stephanie Barkley, Bryan Black, Nicole Blume, Nick Brode, Mason Brown, Ray Corasani, Atticus Couger, Karri Davis, Felicia Day, Drew Droege, Bradford Eckhart, Rosalio Garcia","Molly, a paranormal con artist who cleans people of their valuables instead of their demons, accidentally rips off a drug kingpin. She now has to save her kidnapped partner and herself while battling through the underbelly of Los Angeles.",6
NT Live: Cyrano de Bergerac,NT Live: Cyrano de Bergerac,2019,"Drama, Romance",160,UK,English,Jamie Lloyd,"Edmond Rostand, Martin Crimp",National Theatre Live,"James McAvoy, Anita-Joy Uwajeh, Eben Figueiredo, Michele Austin, Adam Best, Nari Blair-Mangat, Philip Cairns, Adrian Der Gregorian, Tom Edden, Chris Fung, Carla Harrison-Hodge, Mika Onyx Johnson, Seun Shote, Kiruna Stamell, Nima Taleghani","An intense, raw and deep revival of Rostand's Cyrano de Bergerac by the Jamie Lloyd Company.",8.8
Dog Town,Dog Town,2019,Animation,72,USA,English,James Snider,BC Fourteen,,"Thomas Freeley, Maria Petrano, Jacob Whiteshed","When the inconsiderate residents of Dog Town get a little too loud for their own good, the neighbors take notice and call for help in a last-ditch effort to restore peace and justice.",4
The Haunting of La Llorona,The Haunting of La Llorona,2019,Horror,71,USA,English,Dennis Devine,Geno McGahee,CineRidge Entertainment,"Wayne Allen, Kaylin Zeren, Diana Acevedo, Orlando McNary, Tyler Andrew Coleman, Mari Mijangos, Rosa Arjelia Javier, Malcolm Tucker, Laura Dromerick, Art Roberts, Shannon Kraemer, Danielle McGahee","The screams of the children echo throughout the night as a violent reminder of a demon of the past. La Llorona, a paranormal force has returned and seeks the blood of the innocent, proving that the legend is real.",2.7
Christmas a la Mode,Christmas a la Mode,2019,Romance,87,USA,English,John Stimpson,"John Stimpson, John Stimpson",H9 Films,"Katie Leclerc, Ryan Cooper, Jennifer Ellis, Kathy Harum, Caroline Keeler, Tom Kemp, Nick Verina, Charles Van Eman, Celeste Oliva, Caroline Portu, Erin Cole, Donna Ognibene",A woman needs a miracle in order to save her family's farm and her father's legacy in time for a happy Christmas.,6.7
As I Am,As I Am,2019,"Drama, Fantasy, Romance",62,USA,English,Anthony Bawn,Anthony Bawn,APB Production,"Andre Myers, Jerimiyah Dunbar, Rodney Chester, Tom McLaren, Piper Dellums, Rufus Tanksley, Rob Hemen, Tim Christian, Mimi Frank, Nicole Swirsky, Marcus Bailey, Matthew Camp, Margareta Erdei, Heather Fauland, Lea Herman",A story of a young man running from the truth about his childhood returns in order to correct his past but ends up discovering a side of himself that he suppressed.,9.3
Monster Island,Monster Island,2019,"Action, Adventure, Sci-Fi",89,USA,English,Mark Atkins,Mark Atkins,The Asylum,"Eric Roberts, Toshi Toda, Adrian Bouchet, Natalie Robbie, Donna Cormack Thomson, Chris Fisher, Jonathan Pienaar, Margot Wood, Andrew Dennison, Meghan Oberholzer, Ryan Kruger, Lindsay Sullivan, Craig Young, DeWet Du Toit",Gigantic monsters threaten to destroy everything in their path as mankind remains defenseless.,2.6
D-Day,D-Day,2019,"Action, Drama, History",85,USA,English,Nick Lyon,Geoff Meed,Cinedigm Entertainment Group,"Randy Couture, Chuck Liddell, Weston Cage Coppola, Jesse Kove, David Tom, Geoff Meed, Isaac J. Cruz, Kellan Rhude, Matthew Dennis Lewis, Sam Gipson, Brandon Root, Tyler Bryan, Mike C. Manning, Christian Oliver, Ben van Diepen","When an elite group of American soldiers are ordered to take out a series of German machine gun nests, they find themselves blindly venturing into hostile territory.",4.4
Badland,Badland,2019,Western,117,USA,English,Justin Lee,Justin Lee,Papa Octopus Productions,"Kevin Makely, Mira Sorvino, Bruce Dern, Wes Studi, Trace Adkins, Jeff Fahey, Tony Todd, James Russo, Amanda Wyss, Ryan Kelley, Todd A. Robinson, Aidan Bristow, Reggie Watkins, Anita Leeman Torres, Shawn Nightingale","Detective Matthias Breecher is hired to track down the worst of the Confederate war criminals. As he roams the Old West seeking justice, his resolve is tested when he meets a determined pioneer woman who is far more than she seems.",5.5
Un amore degenerato,Deviant Love,2019,Thriller,87,USA,English,Michael Feifer,Leah McKendrick,Feifer Worldwide,"Emma Bell, Nick Ballard, Bradley Bundlie, Gail O'Grady, Corbin Timbrook, Kate Miner, Robert Adamson, Caia Coley, Alicia James, Sotida Arpon, Bridgette Meredith Garb, Enslee Moore, Gunnar Koehler",Jamie's (Emma Bell) marriage falls apart when she finds out her husband has been cheating on her. She heads home to her family with her young son in order to figure out what to do next. She...,3.5
Munchausen by Internet,Munchausen by Internet,2019,Thriller,86,USA,English,Michael Feifer,Hannah C. Langley,Feifer Worldwide,"Lyndon Smith, Abbie Cobb, Sean Faris, Griffin Morgan, Rolonda Watts, Mieko Hillman, Nancy Petersen, Mallory Rose Diekmann, Thomas Bell, Jay Wilkins","A young couple Mira (Abbie Cobb) and Todd (Sean Faris) hire a live-in nurse (Lyndon Smith) to be the caregiver for their sick son, only to discover that she is an ""angel of death"" intent on replacing Mira through any means necessary.",4.2
Vendetta letale,Sleeping with My Student,2019,Thriller,87,USA,English,Tom Shell,Michael Perronne,Deception,"Gina Holden, Jessica Belkin, Mitchell Hoog, David Lipper, Anne Marie Young, Novi Brown, Olivia Bak, Gerald Webb, Jordan Monaghan, Jen L. Burry, Tim Eliot, Leigh Strimbeck, Steve Humphreys, Josh Nuncio, Alex D. Jennings",New school headmaster and single mother Kathy discovers her vacation fling with charming 18-year-old Ian was no accident when he transfers to her school targeting Kathy and her teenage ...,4.7
VHYes,VHYes,2019,Comedy,72,USA,English,Jack Henry Robbins,"Nunzio Randazzo, Jack Henry Robbins",Hot Winter Films,"Jake Head, Christopher Marble, Christian Drerup, Mason McNulty, Roy Abramsohn, Helen Kennedy, Amos Vernon, William Frederick Knight, Lucas Jaye, Deborah Sale Butler, Rahm Braslaw, Kerri Kenney, Mark Proksch, Jelena Williams, Thomas Lennon","This bizarre retro comedy, shot entirely on VHS and Beta, follows 12-year-old Ralph as he accidentally records home videos and his favorite late night shows over his parents' wedding tape.",5.7
Am I a Serial Killer?,Am I a Serial Killer?,2019,Thriller,90,USA,English,Penelope Buitenhuis,"Ken Sanders, Aidan Scott",Reel One Entertainment,"Monroe Cline, Jhey Castles, Crystal Allen, Andrew Lauer, Angela Nicholas, Brady Richards, Jordan Leer, Charles Christopher, James C. Burns, McKinley Blehm, Jesus Ruiz, Tara Malenfant, Tom Gurnee, Gayla Johnson, Gar-Ye Lee",A teenage girl visits her mom on death row and gets lured into a dangerous trap to take the fall for her mother's crimes.,5
Lynn + Lucy,Lynn + Lucy,2019,Drama,90,UK,English,Fyzal Boulifa,Fyzal Boulifa,BBC Films,"Nichola Burley, Kacey Ainsworth, Jordan Long, Jennifer Lee Moon, Jack Shalloo, Christopher Patrick Nolan, Tim Berrington, Shaq B. Grant, Mariia Legun, Roxanne Scrimshaw, Samson Cox-Vinell, Shenagh Govan, Ged Forrest, Santino Smith, Ashleigh Bannister","Lynn and Lucy are lifelong best friends, their relationship as intense as any romance. Neither has ventured far from where they grew up. Lynn, who married her first boyfriend and whose ...",6.7
The Outsider,The Outsider,2019,Western,86,USA,English,Timothy Woodward Jr.,Sean Ryan,Single Malt Productions,"Jonathan Patrick Foo, Trace Adkins, Sean Patrick Flanery, Kaiwi Lyman, Danny Trejo, Mitchell L. Johnson, Philip V. Bruenn, Nellie LeeYa, Alan Donnes, Peter Sherayko, Melissa Phebe Baxter, Cara Fay, Hunter Paul, Annie Tezuka, Layne Herrin","In search of a better life, a railroad worker (Foo) finds himself on the wrong side of a group of corrupt lawmen. As the Marshal (Adkins) attempts to control his town, tragedy strikes forcing him to decide between justice and family.",5.2
Arctic Apocalypse,Arctic Apocalypse,2019,"Action, Adventure, Drama",88,USA,English,"Eric Paul Erickson, Jon Kondelik",Bill Hanstock,Syfy,"Joel Berti, Jennifer Lee Wiggins, Lauren Esposito, Charles N. Townsend III, Anna Sofie Christensen, Blake Dang, John Liiving, Eric Paul Erickson, Delondra Mesa, Jude Williams, Jose Montesinos, Joe Roach, Sharon Desiree, Ryan Patrick Shanahan, Nicole Asher","A massive influx of glacial melting triggers a new ice age in the Northern Hemisphere, forcing a family to make their way across the ice-covered landscape before they are frozen out for good.",2.1
Winter Song,Winter Song,2019,Drama,90,USA,English,Camille Brown,Melissa Bustamante,Almost Never Films Inc.,"Ashanti, Stan Shaw, Sashani Nichole, Christian Rozakis, Tamsen Glaser, Poet Houston, Kaydence Houston, Coleen Tutton, Jean Zarzour, Sarab Kamoo, Nevaeh Ashanti, Runako Marshall, Allie Santo Domingo, Zachary Schafer, Kenashia T. Douglas","Clio befriends Fred, a former jazz singer down on his luck. They form a special bond over music, and Clio, having just lost her own father, helps Fred reconnect with his own daughter, just in time for Christmas.",6.6
Termination,Termination,2019,"Action, Horror, Sci-Fi",95,USA,English,Alice Nicolini,Alice Nicolini,Cloud Walkers Entertainment,"Drake Dalgleish, Bekka Prewitt, Brianna Ripkowski","A faulty prototype of man-engineered human, whose systematic flaw causes her to kill people when she loses control, has to convince her reluctant Creator to terminate her.",2.6
Crudele fissazione,Cruel Fixation,2019,Thriller,88,USA,English,Damián Romay,,Sunshine Films Florida,"Kristina Klebe, Sebastian Cabanas, Tanner Buchanan, Carson Rowland, Megan Ashley Brown, Susan Gallagher, Keith Hudson, Jeremy King, Michael Houston King, Tommi Rose",A recent widow is glad when her son finds a new friend. But it soon becomes clear that he's after a different type of companionship. Will their attraction be her undoing? And what secrets is hiding?,4.3
Bad Ben: The Way In,Bad Ben: The Way In,2019,Horror,89,USA,English,Nigel Bach,Nigel Bach,Nigel Bach Productions,Nigel Bach,"The new owner of the home on Steelmanville Road has hired Tom Riley to go back into the home to rid it of all malevolent forces prior to moving her family in. Tom returns, alone, and finds himself battling 9 demons.",5.6
Lego DC Batman: Family Matters,Lego DC Batman: Family Matters,2019,"Animation, Action, Comedy",72,USA,English,Matt Peters,Jeremy Adams,Warner Bros. Animation,"Troy Baker, Steve Blum, Zach Callison, Cam Clarke, Will Friedle, Ralph Garman, Jake Green, Josh Keaton, Tom Kenny, Christian Lanz, Scott Menville, Nolan North, André Sogliuzzo, Jason Spisak, Alyson Stoner","In LEGO DC: Batman - Family Matters, suspicion is on high after Batman, Batgirl, Robin and other DC superheroes receive mysterious invitations. However, family values must remain strong ...",6.1
Portals,Portals,2019,"Horror, Sci-Fi",85,USA,English,"Gregg Hale, Liam O'Donnell","Sebastian Bendix, Liam O'Donnell",Bloody Disgusting,"Neil Hopkins, Ruby O'Donnell, Phet Mahathongdy, Deanna Russo, Ptolemy Slocum, Reina Guthrie, Shellye Broughton, Paul McCarthy-Boyington, Gretchen Lodge, Danielle Lewis, Keith Hudson, Sergio Martinez, Clint Jung, Albert A. Vega, Michele Weaver","This genre-bending anthology takes place during a series of world-wide blackouts, after which millions of mysterious cosmic anomalies appear everywhere across the planet. While many flee ...",2.9
Evil Little Things,Evil Little Things,2019,Horror,85,USA,English,Matt Green,"Yasmin Bakhtiari, Nancy Knight",Creepy Doll Films,"Cory Anderson, Yasmin Bakhtiari, Demetrice Byrd, Piper Collins, Benny Demuis, Tiffany Dineen, Peyton J. Evans, Hannah Fierman, Zach Galligan, Lilliam Gray, Matt Green, Courtney Hogan, Jonathan Horne, Nancy Knight, Courtney Lakin",A young boy finds a mystical toymaker with dark stories to tell.,3.1
My Alien Girlfriend,My Alien Girlfriend,2019,Comedy,72,USA,English,Sean King,"Sean King, Taylor King",New Zealand Son Films,"Ken Breese, Max Reeves, Abigail Stanton, Ariel Aguilera, Vada Ashley, Cassidy Boland, Jordan Kaplan, Taylor King, Morgan Makana, Mila Maximova, R. Bryan Moore, Vaughn Page, Karl Perry, Brian Pierce, Max Raines","On the night of his Bachelor party, Joe has an Alien crash land in his back yard. With his fiancée becoming suspicious, can he get the Alien home before she finds out and cancels their upcoming wedding?",5.2
The Mummy Rebirth,The Mummy Rebirth,2019,"Action, Horror",80,USA,English,"Khu, Justin Price",Justin Price,Pikchure Zero Entertainment,"Carter, David E. Cazares, Deanna Grace Congo, Brittany Goodwin, Shamel Hashish",Two treasure hunters uncover a sealed tomb and awaken a mummy that has waited years to come back and wipe humanity from the face of the Earth. It's a race against time as they try to stop the Mummy from wreaking havoc on the modern world.,3
Clown,Clown,2019,"Horror, Thriller",87,USA,English,Eric Forsberg,Eric Forsberg,The Asylum,"Adam Elshar, Dave Klec, Micavrie Amaia, Audrey Gibbs, Sam Lazarus, Camille Wormser, Taylor Watson Seupel, Jamey Rimawi, James Jovanovich, Tayvion Power, Audrey Latt, Christopher Shone, Nicholas Shone, Kasia Szarek, Drew Hale","A group of teens fights for their lives as they find themselves trapped in a fun-house, stalked by a killer clown who won't rest until every last one of them is dead.",2.4
Chasing Unicorns,Chasing Unicorns,2019,"Comedy, Drama",108,Estonia,English,Rain Rannu,"Rain Rannu, Priit Pruks",Tallifornia,"Liisa Pulk, Henrik Kalmet, Johann Urb, Rogelio Douglas Jr., Roland Laos, Anti Kobin, Eduard Salmistu, Tõnu Hiielaid, Rain Tolk, Kristo Viiding, Peter Adams, Riivo Anton, Paul Bragiel, Adiescar Chase, Elisabeth Fullerton",Chasing Unicorns follows a young startup entrepreneur Õie and a serial failure Tõnu on their crazy ride from small town Estonia to Silicon Valley - and back.,7.1
Present Laughter,Present Laughter,2019,Comedy,180,UK,English,Matthew Warchus,Noël Coward,,"Nicole Agada, Kitty Archer, Enzo Cilenti, Joshua Hill, Dan Krikler, Tom Peters, Liza Sadovy, Abdul Salis, Andrew Scott, Nada Sharp, Luke Thallon, Sophie Thompson, Suzanne Toase, Indira Varma",National Theatre's live stage production of Noel Coward's 'Present Laughter'.,8.4
A Midsummer Night's Dream,A Midsummer Night's Dream,2019,"Comedy, Drama, Romance",180,UK,English,"Nicholas Hytner, Ross MacGibbon",William Shakespeare,London Theatre Company,"Oliver Chris, Gwendoline Christie, David Moorst, Isis Hainsworth, Tessa Bonham Jones, Paul Adeyefa, Kit Young, Kevin McMonagle, Felicity Montagu, Hammed Animashaun, Jermaine Freeman, Ami Metcalf, Jamie-Rose Monk, Francis Lovehall, Chipo Kureya","Young lovers, a troupe of actors, and fairies have romantic encounters in the forest on summer's night.",8.4
Where We Disappear,Where We Disappear,2019,Drama,73,USA,English,Simon Fink,Arthur M. Jolly,,"Georgina Haig, Jolene Andersen, Katharine Isabelle, Vera Cherny, Osa Wallander, Jonathan Scarfe, David M. Edelstien, Carmen Argenziano, Hunter Doohan, Heather Alexander, Kerstin Alm, Forest Baker, Foster Baker, Olga Balaban, Cecilia Benevich",A story of survival about a woman's first night in a Soviet prison camp.,4.3
Kinky Boots: The Musical,Kinky Boots: The Musical,2019,Musical,135,UK,English,"Jerry Mitchell, Brett Sullivan",Harvey Fierstein,BroadwayHD,"Matt Henry, Killian Donnelly, Natalie McQueen, Sean Needham, Cordelia Farnworth, Antony Reed, Anna Stolli, Jonathan Carlton, Jordan Fox, Rosie Glossop, Robert Grose, Graham Kent, Emma Odell, Abbey Addams, David Haydn","A filmed version of the popular stage musical, in which a feisty drag queen attempts to rescue a shoe factory by designing fabulous and fetishistic footwear.",8.1
